Water/Sewer-Related,Traffic and Parking Signs,Trash-collection,Litter,Vehicle-related,Animal-related,Roadkill,Pothole,Cart,Parks & Trees,Abandoned Property,Property-Maintenance,Random,Sanitation-related,Graffiti,Parking Meter,Illegal Setouts,Streets and Sidewalk,"Health, Safety and Social Services",Codes Violations/Dispute,Snow & Ice,Construction Debris,,
Sewer Back-ups (INTERNAL),Traffic & Parking Signs,Report Improperly Set Out Trash or Recycling (Illegal-Setout),Report Litter on Private Land,,Animal Control,Report Roadkill,Report a Pothole,Cart Stolen,"Other Parks, Trees & Public Utilities Concern",Vacant Buildings,Property Damage- INTERNAL,Please use this space to provide feedback to the City,Illegal setout/sanitation violation dispute,Graffiti on Private Land,Report an illegally parked vehicle,Illegal Setouts,Sidewalks,"Other Health, Safety & Social Services Concern",Codes Violations/Dispute,Snow & Ice,Construction Debris,,
Report internal structural damage of a Catch Basin/Storm Drain,Traffic Signals,Report a Skipped Weekly Trash Pick Up (Internal),,Report an Abandoned Vehicle,Deer Sighting,Roadkill,Potholes,Cart Broken,Tree Care and Removal,Vacant Land,Home & Building Maintenance,Adopt-A-Block Earth Day Litter Pickup Request,Sanitation Exempt Skipped,Graffiti on Public Land,Other Parking & Vehicles Concern,,"Other Streets, Sidewalks & Transportation Concern","Health, Safety and Social Services",,Unshoveled Sidewalks,Request Construction Debris Pick Up (May and September Only),,
Other Sewer-related Concerns,Street Lights,Report a Skipped Weekly Trash Pick Up,Report Trash/Debris Outside a Home/Building,Tires,Dog Control,,,Cart Feedback,Internal Landscaping Projects,,Other Housing & Property Maintenance Concern,Register for Adopt-A-Block,Street Sweeping (INTERNAL),,Parking Tickets,,"Streets, Sidewalks & Transportation",,,,,,
Water-related Concerns,,Report a Skipped Recycling Pick Up (Internal),Report Litter on Public Land,,Other Animal-related Concern,,,Sanitation Carts,Report Overgrowth on Public land,,Housing & Property Maintenance,DPW Escalation,,,,,Pavement Markings,,,,,,
Report external dirt/debris blocking a Catch Basin/Storm Drain,,Report a Skipped Bulk Pick Up (Internal),Trash Can on Public Land,,,,,Cart Not Delivered,Park Maintenance,,,Large or Bulk Items- Setout notification only,,,,,Curb/Sidewalk Removal Concerns,,,,,,
Report a Problem with a Catch Basin/Storm Drain,,Sanitation Exempt Skipped,Yard Waste,,,,,Mixed-Use Cart Request,Report Overgrowth on Private land,,,Adopt-A-Block/Earth Day - Request for Trash pick up,,,,,,,,,,,
Other Water & Sewage Concern,,Report a Skipped Recycling Pick Up,Unlawful Dumping on Vacant Land,,,,,Carts-Wrong Number of Carts Delivered,Report Overgrown Grass on Private Land,,,SPD Support (Internal),,,,,,,,,,,
Report internal clogging of a Catch Basin/ Storm Drain,,Report a Skipped Bulk Pick Up,Electronic or Hazardous Waste That Has Not Been Disposed of Properly,,,,,Second Cart Request,Report Overgrown Grass in Public Spaces,,,Constituent Services (Internal),,,,,,,,,,,
,,Recycling,Electronics & Hazardous Waste,,,,,Sanitation Cart Not Received,Request a free street tree planting (City of Syracuse Property Owners Only),,,"To report an illegally parked vehicle, please call the Syracuse Police Ordinance at 315-448-8650. If this is an emergency, please call 911. Do NOT submit requests to Cityline.",,,,,,,,,,,
,,Other Garbage & Recycling,Report Electronic or Hazardous Waste That Has Not Been Disposed of Properly,,,,,Carts-Request an Elderly or Disabled Service,Trash Can in Parks,,,"To report an abandoned vehicle, please call the Syracuse Police Ordinance at 315-448-8650. If this is an emergency, please call 911. Do NOT submit requests to Cityline.",,,,,,,,,,,
,,Weekly Trash Pickup,,,,,,,Playground Equipment,,,,,,,,,,,,,,
,,Large or Bulk Items- Skipped Pickup,,,,,,,Overgrown Grass in Public Spaces,,,,,,,,,,,,,,
,,Recycling (pick up that has been skipped),,,,,,,,,,,,,,,,,,,,,
